,IBGE_DU,IBGE_DU_URBAN,IBGE_POP,IBGE_15-59,IDHM,LONG,LAT,GDP,GDP_CAPITA,CITY_STATE
0,4655.0,3233.0,10656.0,6896.0,0.69,-48.71881214,-16.18267186,287984.49,15628.4,Abadiânia - GO
1,7694.0,6667.0,18464.0,11979.0,0.698,-45.44619142,-19.15584769,430235.36,18250.42,Abaeté - MG
2,31061.0,19057.0,82956.0,53516.0,0.628,-48.88440382,-1.723469863,1249255.29,8222.36,Abaetetuba - PA
3,2791.0,1251.0,4538.0,2631.0,0.628,-39.04754664,-7.356976596,73151.46,6370.41,Abaiara - CE
4,2572.0,1193.0,3725.0,2319.0,0.603,-41.66160848,-13.25353189,64324.59,6982.7,Abaíra - BA
5,4332.0,2379.0,8994.0,5386.0,0.575,-39.11658794,-8.723418246,124754.26,6256.8,Abaré - BA
6,2499.0,1877.0,5685.0,3650.0,0.687,-50.31252658,-23.30049404,165048.21,21173.6,Abatiá - PR
7,848.0,234.0,724.0,479.0,0.69,-51.02527221,-27.60898712,64742.01,24739.02,Abdon Batista - SC
8,1880.0,1650.0,5998.0,3657.0,0.622,-48.39676213,-4.951390896,79657.59,11095.92,Abel Figueiredo - PA
9,4739.0,2694.0,9544.0,6068.0,0.696,-52.33648238,-26.56303102,604280.35,33982.7,Abelardo Luz - SC
10,3930.0,2202.0,7101.0,4512.0,0.654,-42.48098999,-20.30144528,187903.74,13689.62,Abre Campo - MG
11,760.0,445.0,1476.0,872.0,0.665,-49.16243756,-9.621790712,47378.25,18543.35,Abreulândia - TO
12,1264.0,834.0,2550.0,1581.0,0.63,-43.1482389,-20.36040893,36424.03,8969.23,Acaiaca - MG
13,27523.0,20612.0,78081.0,49197.0,0.672,-47.50666459,-4.951377,1999546.31,18088.4,Açailândia - MA
14,4116.0,3632.0,12727.0,7412.0,0.58,-38.01828637,-11.66261283,115158.46,7305.15,Acajutiba - BA
15,11833.0,3014.0,12590.0,7281.0,0.506,-48.20045643,-1.9634365,788.42,14578.7,Acará - PA
16,4186.0,2181.0,8189.0,5149.0,0.606,-38.70562377,-4.223138409,128390.92,7820.13,Acarape - CE
17,14680.0,7410.0,24117.0,15123.0,0.601,-40.11824147,-2.88531054,580727.43,9409.83,Acaraú - CE
18,3298.0,2721.0,8260.0,5217.0,0.679,-36.64373887,-6.442085089,108583.31,9576.94,Acari - RN
19,1877.0,266.0,901.0,558.0,0.528,-41.08363782,-8.220786663,42602.57,6128.98,Acauã - PI
20,1398.0,314.0,1059.0,684.0,0.687,-54.16473154,-31.8640153,250332.23,52913.18,Aceguá - RS
21,15041.0,7885.0,25159.0,15121.0,0.595,-39.45570528,-6.092761995,371701.24,6966.18,Acopiara - CE
22,1742.0,899.0,2926.0,1793.0,0.628,-56.37155257,-15.19788998,70836.99,13362.95,Acorizal - MT
23,3473.0,1679.0,5902.0,3484.0,0.604,-67.05231658,-10.07379389,227610.9,16119.75,Acrelândia - AC
24,6485.0,5636.0,16969.0,11256.0,0.69,-50.37497337,-17.39815622,614411.11,28048.9,Acreúna - GO
25,14880.0,11063.0,41739.0,27195.0,0.66,-36.91792322,-5.571945999,783.64,13571.24,Açu - RN
26,3061.0,1479.0,4790.0,2825.0,0.61,-42.54621088,-19.07671289,94656.19,9403.56,Açucena - MG
27,11335.0,10777.0,31695.0,20651.0,0.79,-51.07336475,-21.68831148,1152441.22,32838.7,Adamantina - SP
28,846.0,746.0,2190.0,1435.0,0.7,-50.16314668,-16.41500151,31964.19,12481.14,Adelândia - GO
29,1200.0,1081.0,3200.0,2079.0,0.73,-49.64972143,-21.23272978,86.47,23911.98,Adolfo - SP
30,1976.0,643.0,2050.0,1258.0,0.667,-48.99175454,-24.66168971,239080.34,37991.47,Adrianópolis - PR
31,4544.0,1704.0,5545.0,3498.0,0.546,-38.11550583,-10.52957157,101477.93,5881.41,Adustina - BA
32,2948.0,1602.0,5736.0,3492.0,0.585,-36.50914823,-5.498734268,84785.01,7565.36,Afonso Bezerra - RN
33,9859.0,5310.0,15757.0,10052.0,0.667,-41.12545972,-20.07704001,472476.75,14579.47,Afonso Cláudio - ES
34,1305.0,734.0,3230.0,1880.0,0.529,-43.320869,-4.135015477,35459.24,5522.39,Afonso Cunha - MA
35,4744.0,1681.0,5841.0,3616.0,0.588,-41.00579734,-8.511091284,150339.57,7820.0,Afrânio - PE
36,6748.0,1979.0,9408.0,5399.0,0.489,-50.39142759,-0.159171694,315991.25,8364.42,Afuá - PA
37,6882.0,5209.0,16935.0,10195.0,0.59,-35.94677684,-8.455973,220689.77,9024.69,Agrestina - PE
38,1536.0,1100.0,3594.0,2100.0,0.599,-42.6591832,-5.795501935,29519.49,5823.53,Agricolândia - PI
39,2952.0,1927.0,5951.0,3961.0,0.725,-49.82565339,-27.40051659,225.8,21655.48,Agrolândia - SC
40,1511.0,589.0,1858.0,1266.0,0.741,-49.71836889,-27.26971611,138390.31,25766.21,Agronômica - SC
41,6437.0,5251.0,16691.0,11228.0,0.73,-52.1589153,-14.0490868,899989.55,37449.63,Água Boa - MT
42,4170.0,2015.0,6987.0,4115.0,0.58,-42.38964323,-17.99105305,134247.7,9243.16,Água Boa - MG
43,4733.0,4203.0,14525.0,8658.0,0.639,-42.63513086,-5.893266338,174731.05,10237.35,Água Branca - PI
44,4734.0,1361.0,5090.0,3047.0,0.55,-37.94071518,-9.267025497,126227.79,6180.97,Água Branca - AL
45,2562.0,1209.0,4059.0,2336.0,0.57,-37.64220904,-7.511070151,75120.69,7385.05,Água Branca - PB
46,4468.0,2920.0,9397.0,6223.0,0.67,-52.87511755,-20.44885076,1117991.64,75878.35,Água Clara - MS
47,712.0,539.0,1499.0,1008.0,0.675,-48.10807677,-20.05931241,135.8,65891.69,Água Comprida - MG
48,2131.0,1145.0,3408.0,2134.0,0.698,-51.55909656,-27.00409166,317937.56,44510.37,Água Doce - SC
49,4610.0,1830.0,5753.0,3504.0,0.55,-38.7680778,-11.872931,138677.16,7955.78,Água Fria - BA
50,738.0,525.0,1422.0,897.0,0.722,-48.76124096,-18.07140606,43637.12,22038.95,Água Limpa - GO
51,796.0,521.0,1898.0,1234.0,0.616,-38.29082495,-6.204716719,24567.76,7594.36,Água Nova - RN
52,7840.0,4639.0,17049.0,10661.0,0.55,-35.51855735,-8.709122552,256148.56,7107.34,Água Preta - PE
53,1097.0,480.0,1446.0,928.0,0.75,-52.03463279,-28.17505475,283321.69,73762.48,Água Santa - RS
54,9899.0,8970.0,28182.0,18608.0,0.715,-46.97969311,-22.059684,764287.53,21719.5,Aguaí - SP
55,1353.0,791.0,2296.0,1484.0,0.66,-45.38946534,-20.9374322,64778.18,14702.27,Aguanil - MG
56,4233.0,462.0,22555.0,12817.0,0.526,-37.12195717,-9.1145895,313426.61,7317.75,Águas Belas - PE
57,5299.0,4149.0,14230.0,8500.0,0.645,-40.93522794,-17.08230432,222102.64,11470.47,Águas Formosas - MG
58,725.0,302.0,981.0,662.0,0.745,-52.85941945,-26.88022754,87.69,36583.79,Águas Frias - SC
59,1691.0,711.0,2318.0,1577.0,0.723,-48.8405384,-27.70659719,146.56,23615.37,Águas Mornas - SC
60,3474.0,2455.0,8932.0,5485.0,0.601,-41.4587883,-15.74531995,184041.19,13619.57,Águas Vermelhas - MG
61,5431.0,2410.0,6792.0,4458.0,0.69,-53.25869169,-29.64566336,423647.09,24771.79,Agudo - RS
62,10201.0,9769.0,32261.0,21424.0,0.745,-48.99015629,-22.474037,2562986.2,69828.53,Agudos - SP
63,2952.0,1014.0,3044.0,1971.0,0.68,-40.73663817,-18.98736137,165777.82,16454.37,Águia Branca - ES
64,1660.0,864.0,2699.0,1611.0,0.597,-38.17758184,-7.094805762,44348.09,7966.25,Aguiar - PB
65,1323.0,1067.0,4117.0,2486.0,0.657,-47.47045659,-6.547170821,134621.18,21344.72,Aguiarnópolis - TO
66,8242.0,6571.0,19057.0,11874.0,0.684,-41.07332746,-19.49195015,410.2,15959.36,Aimorés - MG
67,1376.0,786.0,2673.0,1625.0,0.583,-39.88577801,-14.12727749,49816.22,10498.68,Aiquara - BA
